office.DATE_KEY,office.FORM,office.PROJECT_STATUS,office.CONSTRUCTOR_KEY,office.DEVELOPER_KEY,office.LOCATION_KEY,office.OPERATOR_KEY,office.PROJECT_KEY,office.OCCUPANCY,office.LEASED,office.GFA,office.EFFICIENCY,office.NLA,office.VACANT_AREA,office.AVERAGE_GROSS_RENT,office.AGENT_NAME,office.CONSTRUCTION_STATUS,office.NOTE,project.SECTOR,project.PROJECT_KEY,project.PROJECT_NAME_DOC,project.PROJECT_PHASE,project.SUB_PROJECT_TYPE,project.ORIGINAL_SUB_PROJECT_NAME_DOC,project.LAUNCHING_TIME,project.CURRENT_GRADE,developer.MAIN_DEVELOPER_NAME_DOC,location.CITY_NAME_DOC,location.DISTRICT_NAME_DOC,operator.MAIN_OPERATOR_NAME_DOC,constructor.MAIN_CONSTRUCTOR_NAME_DOC,LAT,LONG,Unnamed: 33
20210930,Present,Active,,,,,,1.0,"6,336",,,"6,336", -   ,41.0,,,,OFFICE,251,63 Ly Thai To,,Traditional office,63 Ly Thai To,,A,"Doan Ket International Co., Ltd.",Ha Noi City,Hoan Kiem District,,,21.02485,105.857148,
20210930,Present,Active,,,,,,1.0,"3,409",,,"3,409", -   ,42.0,,,,OFFICE,837,Central Building,,Traditional office,Central Building,,A,"Hong Kong Land (Leasing) Co., Ltd., Kinh Do Co. Ltd. (The Hanoi Confederation of Labour)",Ha Noi City,Hoan Kiem District,,,21.024442,105.851522,
20210930,Present,Active,,,,,,0.98,"15,317",,,"15,554",237,31.0,,,,OFFICE,2639,Daeha Complex,,Traditional office,Daeha Complex,,A,"Daeha Co., Ltd.",Ha Noi City,Ba Dinh District,,,21.031144,105.81256599999999,
20210930,Present,Active,,,,,,0.96,"8,138",,,"8,500",362,36.0,,,,OFFICE,3935,Ha Noi Central Office Building,,Traditional office,Ha Noi Central Office Building,,A,"S.A.S Trading (Thailand), CTAMAD Company",Ha Noi City,Hoan Kiem District,,,21.024387,105.848347,
20210930,Present,Active,,,,,,0.94,"8,667",,,"9,184",517,33.0,,,,OFFICE,4009,Hanoi Towers,,Traditional office,Hanoi Towers,,A,Hanoi Tower Centre Co.,Ha Noi City,Hoan Kiem District,,,21.025879999999997,105.84606699999999,
20210930,Present,Active,,,,,,0.75,"5,253",,,"7,000","1,747",48.0,,,,OFFICE,4379,International Centre,,Traditional office,International Centre,,A,VinaCapital Group Ltd.,Ha Noi City,Hoan Kiem District,,,21.025111,105.85554099999999,
20210930,Present,Active,,,,,,1.0,"13,459",,,"13,459", -   ,32.0,,,,OFFICE,6796,Sun Red River,,Traditional office,Sun Red River,,A,Sun Red River Co.,Ha Noi City,Hoan Kiem District,,,21.020943,105.85625900000001,
20210930,Present,Active,,,,,,0.87,"14,007",,,"16,111","2,104",43.0,,,,OFFICE,5905,Pacific Place,,Traditional office,Pacific Place,,A,Mapletree Investments Pte Ltd.,Ha Noi City,Hoan Kiem District,,,21.024998,105.84335,
20210930,Present,Active,,,,,,0.95,"2,463",,,"2,600",137,32.0,,,,OFFICE,530,Asia Tower,,Traditional office,Asia Tower,,A,Asia Tower Jsc.,Ha Noi City,Hoan Kiem District,,,21.029284,105.85034099999999,
20210930,Present,Active,,,,,,0.96,"1,200",,,"1,250",50,41.0,,,,OFFICE,6164,Press Club,,Traditional office,Press Club,,A,Apple Tree Entrepreneurs in Asia,Ha Noi City,Hoan Kiem District,,,21.025413,105.85701100000001,
20210930,Present,Active,,,,,,1.0,"9,870",,,"9,870", -   ,37.0,,,,OFFICE,654,BIDV Tower,,Traditional office,Bidv Tower,,A,BIDV - Vietnam Partners Investment Management JV Co. (BVIM),Ha Noi City,Hoan Kiem District,,,21.029443,105.85706,
20210930,Present,Active,,,,,,0.79,"14,750",,,"18,676","3,926",24.0,,,,OFFICE,789,Capital Tower,,Traditional office,Capital Tower,,A,Capital Tourist Trading & Investment Company,Ha Noi City,Hoan Kiem District,,,21.02357,105.842025,
20210930,Present,Active,,,,,,0.92,"3,926",,,"4,273",347,42.0,,,,OFFICE,6578,Leadvisors Palace,,Traditional office,Leadvisors Palace,,A,Leadvisors Capital Management Jsc.,Ha Noi City,Hoan Kiem District,,,21.028861,105.85578999999998,
20210930,Present,Active,,,,,,0.94,"37,525",,,"39,900","2,375",23.0,,,,OFFICE,874,Charmvit,,Traditional office,Charmvit,,A,Charmvit Group,Ha Noi City,Cau Giay District,,,21.008207000000002,105.797669,
20210930,Present,Active,,,,,,0.98,"73,425",,,"75,000","1,575",30.0,,,,OFFICE,4442,Keangnam Ha Noi,,Traditional office,Keangnam Ha Noi,,A,AON Holdings,Ha Noi City,Nam Tu Liem District,,,21.016825,105.78407,
20210930,Present,Active,,,,,,0.82,"10,908",,,"13,300","2,392",29.0,,,,OFFICE,4367,Indochina Plaza Hanoi,,Traditional office,Indochina Plaza Hanoi,,A,Hanoi Residential and Commercial Centre (HRCC),Ha Noi City,Cau Giay District,,,21.036181,105.78250600000001,
20210930,Present,Active,,,,,,0.99,"26,445",,,"26,615",170,42.0,,,,OFFICE,2439,Cornerstone,,Traditional office,Cornerstone,,A,"Daibiru CSB Co., Ltd.",Ha Noi City,Hoan Kiem District,,,21.021329,105.854942,
20210930,Present,Active,,,,,,0.96,"42,180",,,"43,880","1,700",24.0,,,,OFFICE,6209,PVI Tower,,Traditional office,Pvi Tower,,A,PVI Holdings,Ha Noi City,Cau Giay District,,,21.024175,105.788973,
20210930,Present,Active,,,,,,0.97,"43,590",,,"45,000","1,410",39.0,,,,OFFICE,4726,Lotte Centre Hanoi,,Traditional office,Lotte Centre Hanoi,,A,Lotte Group,Ha Noi City,Ba Dinh District,,,21.032439,105.812459,
20210930,Present,Active,,,,,,0.92,"43,273",,,"46,890","3,617",30.0,,,,OFFICE,11112,TNR Tower,,Traditional office,Tnr Tower,,A,TNR Holdings,Ha Noi City,Dong Da District,,,21.023448000000002,105.80941899999999,
20210930,Present,Active,,,,,,0.93,"7,757",,,"8,385",628,26.0,,,,OFFICE,4250,Horison Tower,,Traditional office,Horison Tower,,A,Global Toserco & PT Global Metropolitan,Ha Noi City,Dong Da District,,,21.029913,105.82885800000001,
20210930,Present,Active,,,,,,0.62,"15,190",,,"24,500","9,310",42.0,,,,OFFICE,7014,Thai Holdings Tower,,Traditional office,Thai Holdings Tower,,A,ThaiGroup,Ha Noi City,Hoan Kiem District,,,21.026895,105.858522,
20210930,Present,Active,,,,,,0.33,"1,100",,,"3,300","2,200",37.0,,,,OFFICE,1056,Doji Tower,,Traditional office,Doji Tower,,A,Doji Land,Ha Noi City,Ba Dinh District,,,21.029055,105.84166499999999,
20210930,Present,Active,,,,,,0.54,"9,603",,,"17,937","8,334",18.0,,,,OFFICE,4647,Leadvisors Tower,,Traditional office,Leadvisors Tower,,A,LeadvisorSanei Hospitality Holdings,Ha Noi City,Bac Tu Liem District,,,21.049893,105.782048,
20210930,Present,Active,,,,,,0.3,"27,994",,,"93,314","65,320",42.0,,,,OFFICE,787,Capital Place,,Traditional office,Capital Place,,A,CapitaLand,Ha Noi City,Ba Dinh District,,,21.031129999999997,105.813686,
20210930,Present,Active,,,,,,0.0, -   ,,,"4,100","4,100",24.0,,,,OFFICE,12924,APEC Grand Plaza,,Traditional office,Apec Grand Plaza,,A,APEC Group,Ha Noi City,Cau Giay District,,,21.008646,105.798077,
20210930,Present,Active,,,,,,0.0, -   ,,,"5,579","5,579",45.0,,,,OFFICE,5890,BRG Tower,,Traditional office,Brg Tower,,A,BRG Group,Ha Noi City,Hoan Kiem District,,,21.028378,105.85763899999999,
20210930,Present,Active,,,,,,0.91,"4,287",,,"4,700",413,18.0,,,,OFFICE,3951,Ha Noi Toserco Building,,Traditional office,Ha Noi Toserco Building,,B,Hanoi Toserco,Ha Noi City,Ba Dinh District,,,21.030727,105.820151,
20210930,Present,Active,,,,,,0.9,"9,860",,,"11,000","1,140",24.0,,,,OFFICE,4164,HITC,,Traditional office,Hitc,,B,"Schmidt Co., Ltd.",Ha Noi City,Cau Giay District,,,21.035935000000002,105.783303,
20210930,Present,Active,,,,,,0.93,"2,750",,,"2,950",200,22.0,,,,OFFICE,5819,North Star,,Traditional office,North Star,,B,VCCI and Cao Bang's People Committee,Ha Noi City,Hoan Kiem District,,,21.024029000000002,105.846434,
20210930,Present,Active,,,,,,0.99,"17,572",,,"17,692",120,19.0,,,,OFFICE,5845,Ocean Park,,Traditional office,Ocean Park,,B,Vietnam National Maritime Corporation (VINALINES),Ha Noi City,Dong Da District,,,21.007123999999997,105.84022399999999,
20210930,Present,Active,,,,,,0.99,"7,302",,,"7,384",82,27.0,,,,OFFICE,6166,Prime Centre,,Traditional office,Prime Centre,,B,Warterview Co.,Ha Noi City,Hoan Kiem District,,,21.018507999999997,105.84774399999999,
20210930,Present,Active,,,,,,0.98,"8,542",,,"8,687",145,27.0,,,,OFFICE,7461,Tungshing Square,,Traditional office,Tungshing Square,,B,Tungshing Development Inc. and Food Trading & Transportation Company,Ha Noi City,Hoan Kiem District,,,21.029770000000003,105.85631000000001,
20210930,Present,Active,,,,,,0.95,"4,270",,,"4,500",230,22.0,,,,OFFICE,7860,V-Tower,,Traditional office,V-Tower,,B,"Michinoku Lease Co., Ltd. (Japan); Ohki Corporation (Japan); Rinkai Construction Co., Ltd. (Japan); Central Finance Aomori Co., Ltd. (Japan), Housing & Urban Development Corporation",Ha Noi City,Ba Dinh District,,,21.028614,105.80616200000001,
20210930,Present,Active,,,,,,0.98,"16,531",,,"16,869",338,15.0,,,,OFFICE,4188,Hoa Binh Tower,,Traditional office,Hoa Binh Tower,,B,Hoa Binh Real Estate Trading Co.,Ha Noi City,Cau Giay District,,,21.046566000000002,105.795142,
20210930,Present,Active,,,,,,0.98,"8,381",,,"8,571",190,19.0,,,,OFFICE,4053,Harec Building,,Traditional office,Harec Building,,B,Harec Investment & Trade Co.,Ha Noi City,Dong Da District,,,21.022266000000002,105.818601,
20210930,Present,Active,,,,,,0.96,"3,135",,,"3,255",120,20.0,,,,OFFICE,5873,Opera Business Centre,,Traditional office,Opera Business Centre,,B,Opera Trading Centre Venture Co.,Ha Noi City,Hoan Kiem District,,,21.024732999999998,105.856536,
20210930,Present,Active,,,,,,0.89,"5,383",,,"6,050",667,16.0,,,,OFFICE,2779,DMC Plaza,,Traditional office,Dmc Plaza,,B,DMC Group,Ha Noi City,Ba Dinh District,,,21.029395,105.81023,
